listing_id,city,locality,bhk,property_type,area_sqft,price_inr,price_per_sqft_inr,status,builder,posted_on,url
L0001,Mumbai,Andheri West,2,Apartment,950,21000000,22105,Ready to Move,Lodha,2026-04-12,https://example.com/L0001
L0002,Mumbai,Andheri West,3,Apartment,1450,33000000,22759,Ready to Move,Oberoi,2026-04-15,https://example.com/L0002
L0003,Mumbai,Bandra West,2,Apartment,1100,42000000,38182,Ready to Move,Rustomjee,2026-04-09,https://example.com/L0003
L0004,Mumbai,Powai,3,Apartment,1380,28500000,20652,Ready to Move,Hiranandani,2026-04-18,https://example.com/L0004
L0005,Mumbai,Goregaon East,2,Apartment,890,16500000,18539,Ready to Move,Oberoi,2026-04-22,https://example.com/L0005
L0006,Mumbai,Thane West,2,Apartment,920,11500000,12500,Ready to Move,Lodha,2026-04-25,https://example.com/L0006
L0007,Mumbai,Thane West,3,Apartment,1320,17500000,13258,Ready to Move,Kalpataru,2026-04-28,https://example.com/L0007
L0008,Mumbai,Mulund West,2,Apartment,960,15000000,15625,Ready to Move,Nirmal,2026-05-01,https://example.com/L0008
L0009,Mumbai,Chembur,3,Apartment,1280,24000000,18750,Ready to Move,Godrej,2026-05-03,https://example.com/L0009
L0010,Mumbai,Worli,4,Apartment,2100,95000000,45238,Ready to Move,Lodha,2026-05-05,https://example.com/L0010
L0011,Bangalore,Whitefield,2,Apartment,1150,11500000,10000,Ready to Move,Prestige,2026-04-10,https://example.com/L0011
L0012,Bangalore,Whitefield,3,Apartment,1550,16500000,10645,Ready to Move,Brigade,2026-04-14,https://example.com/L0012
L0013,Bangalore,Indiranagar,2,Apartment,1080,15500000,14352,Ready to Move,Sobha,2026-04-17,https://example.com/L0013
L0014,Bangalore,Indiranagar,3,Apartment,1620,24000000,14815,Ready to Move,Prestige,2026-04-20,https://example.com/L0014
L0015,Bangalore,Koramangala,2,Apartment,1120,17000000,15179,Ready to Move,Salarpuria,2026-04-23,https://example.com/L0015
L0016,Bangalore,Koramangala,3,Apartment,1680,26500000,15774,Ready to Move,Prestige,2026-04-26,https://example.com/L0016
L0017,Bangalore,HSR Layout,2,Apartment,1090,13500000,12385,Ready to Move,Sobha,2026-04-29,https://example.com/L0017
L0018,Bangalore,Electronic City,2,Apartment,1010,7800000,7723,Ready to Move,Brigade,2026-05-02,https://example.com/L0018
L0019,Bangalore,Hebbal,3,Apartment,1480,14500000,9797,Ready to Move,Prestige,2026-05-04,https://example.com/L0019
L0020,Bangalore,Sarjapur Road,3,Apartment,1520,15800000,10395,Ready to Move,Brigade,2026-05-06,https://example.com/L0020
L0021,Pune,Hinjewadi,2,Apartment,980,9200000,9388,Ready to Move,Kolte Patil,2026-04-11,https://example.com/L0021
L0022,Pune,Hinjewadi,3,Apartment,1380,13500000,9783,Ready to Move,Godrej,2026-04-13,https://example.com/L0022
L0023,Pune,Kharadi,2,Apartment,1020,11000000,10784,Ready to Move,Gera,2026-04-16,https://example.com/L0023
L0024,Pune,Kharadi,3,Apartment,1450,16500000,11379,Ready to Move,Panchshil,2026-04-19,https://example.com/L0024
L0025,Pune,Baner,2,Apartment,1080,12500000,11574,Ready to Move,Kolte Patil,2026-04-21,https://example.com/L0025
